polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 6*x^4 - x^3 + 10*x^2 - 6*x + 1,11,-165/2,231,-297,363/2,-66,77/2,11/2,0,C(5) = 5,14641
x^5 - 6*x^4 + 10*x^3 - x^2 - 6*x + 1,77/2,-66,363/2,-297,231,-165/2,11,11/2,0,C(5) = 5,14641
x^5 - 6*x^4 - x^3 + 10*x^2 - 6*x + 1,11,-165/2,231,-297,363/2,-66,77/2,11/2,0,C(5) = 5,14641
x^5 - 6*x^4 + 10*x^3 - x^2 - 6*x + 1,77/2,-66,363/2,-297,231,-165/2,11,11/2,0,C(5) = 5,14641
x^5 - 2*x^4 - 5*x^3 + 2*x^2 + 4*x + 1,11,99/2,66,11,-33/2,0,33/2,11/2,1,C(5) = 5,14641
x^5 - 10*x^3 + 5*x^2 + 10*x + 1,175/2,150,375/2,-125,0,-75/2,25,25/2,1,C(5) = 5,19140625
x^5 + x^4 - 4*x^3 - 3*x^2 + 3*x + 1,33/2,33/2,33/2,-22,-33/2,33/2,11,11/2,0,C(5) = 5,14641
x^5 + 3*x^4 - 3*x^3 - 4*x^2 + x + 1,11,33/2,-33/2,-22,33/2,33/2,33/2,11/2,0,C(5) = 5,14641
x^5 + 4*x^4 - 9*x^3 - 5*x^2 + 9*x + 1,187/2,0,99,-187,33/2,-33/2,77/2,11/2,1,C(5) = 5,7745089
x^5 + 4*x^4 + 2*x^3 - 5*x^2 - 2*x + 1,33/2,0,-33/2,11,66,99/2,11,11/2,1,C(5) = 5,14641
x^5 + 9*x^4 - 5*x^3 - 9*x^2 + 4*x + 1,77/2,-33/2,33/2,-187,99,0,187/2,11/2,1,C(5) = 5,7745089
x^5 + 10*x^4 + 5*x^3 - 10*x^2 + 1,25,-75/2,0,-125,375/2,150,175/2,25/2,1,C(5) = 5,19140625
