polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 15*x^3 - 14*x^2 + 15*x + 1,-4095,4368,4095,0,273,1,E(4) = 2[x]2,86155524
x^4 - 15*x^3 + 2*x^2 + 15*x + 1,-3135,0,3135,0,3135,2,E(4) = 2[x]2,39312900
x^4 - 15*x^3 - 14*x^2 + 15*x + 1,-4095,4368,4095,0,273,1,E(4) = 2[x]2,86155524
x^4 - 15*x^3 + 2*x^2 + 15*x + 1,-3135,0,3135,0,3135,2,E(4) = 2[x]2,39312900
x^4 - 14*x^3 - 3*x^2 + 4*x + 1,0,180,360,180,180,1,E(4) = 2[x]2,291600
x^4 - 14*x^3 + 2*x^2 + 14*x + 1,-2520,0,2520,0,2520,2,E(4) = 2[x]2,25401600
x^4 - 13*x^3 + 2*x^2 + 13*x + 1,-1989,0,1989,0,1989,2,E(4) = 2[x]2,15824484
x^4 - 12*x^3 - 8*x^2 + 12*x + 1,-2016,1680,2016,0,336,1,E(4) = 2[x]2,19079424
x^4 - 12*x^3 - 5*x^2 + 12*x + 1,-1872,1092,1872,0,156,1,E(4) = 2[x]2,15210000
x^4 - 12*x^3 + 2*x^2 + 12*x + 1,-1536,0,1536,0,1536,2,E(4) = 2[x]2,9437184
x^4 - 12*x^3 + 12*x^2 + 12*x + 1,-1056,-880,1056,0,176,1,E(4) = 2[x]2,5234944
x^4 - 11*x^3 + 2*x^2 + 11*x + 1,-1155,0,1155,0,1155,2,E(4) = 2[x]2,5336100
x^4 - 10*x^3 + 2*x^2 + 10*x + 1,-840,0,840,0,840,2,E(4) = 2[x]2,2822400
x^4 - 9*x^3 + 2*x^2 + 9*x + 1,-585,0,585,0,585,2,E(4) = 2[x]2,1368900
x^4 - 8*x^3 - 10*x^2 + 8*x + 1,-768,1152,768,0,384,1,E(4) = 2[x]2,3686400
x^4 - 8*x^3 - 7*x^2 + 2*x + 1,0,240,240,60,60,1,E(4) = 2[x]2,176400
x^4 - 8*x^3 + 2*x^2 + 8*x + 1,-384,0,384,0,384,2,E(4) = 2[x]2,589824
x^4 - 7*x^3 + 2*x^2 + 7*x + 1,-231,0,231,0,231,2,E(4) = 2[x]2,213444
x^4 - 6*x^3 - 15*x^2 - 6*x + 1,624,1352,624,0,104,1,E(4) = 2[x]2,270400
x^4 - 6*x^3 - 14*x^2 + 6*x + 1,-504,1344,504,0,168,1,E(4) = 2[x]2,2822400
x^4 - 6*x^3 - 7*x^2 + 6*x + 1,-336,504,336,0,168,1,E(4) = 2[x]2,705600
x^4 - 6*x^3 - 3*x^2 + 6*x + 1,-240,200,240,0,40,1,E(4) = 2[x]2,270400
x^4 - 6*x^3 + 2*x^2 + 6*x + 1,-120,0,120,0,120,2,E(4) = 2[x]2,57600
x^4 - 6*x^3 + 11*x^2 + 6*x + 1,96,144,-96,0,48,1,E(4) = 2[x]2,57600
x^4 - 6*x^3 + 13*x^2 - 6*x + 1,-48,120,-48,0,24,1,E(4) = 2[x]2,5184
x^4 - 4*x^3 - 13*x^2 + 4*x + 1,-240,900,240,0,60,1,E(4) = 2[x]2,1040400
x^4 - 4*x^3 - 12*x^2 - 4*x + 1,288,720,288,0,144,1,E(4) = 2[x]2,186624
x^4 - 4*x^3 - 4*x^2 + 4*x + 1,-96,144,96,0,48,1,E(4) = 2[x]2,57600
x^4 - 4*x^3 - 3*x^2 + 14*x + 1,-2880,720,720,-180,180,0,E(4) = 2[x]2,291600
x^4 - 4*x^3 + 5*x^2 - 2*x + 1,0,48,-48,12,12,1,E(4) = 2[x]2,144
x^4 - 4*x^3 + 8*x^2 - 4*x + 1,-32,80,-32,0,16,1,E(4) = 2[x]2,2304
x^4 - 4*x^3 + 8*x^2 + 4*x + 1,96,144,-96,0,48,1,E(4) = 2[x]2,57600
x^4 - 4*x^3 + 15*x^2 - 4*x + 1,-144,612,-144,0,36,1,E(4) = 2[x]2,291600
x^4 - 3*x^3 - 12*x^2 - 3*x + 1,195,650,195,0,65,1,E(4) = 2[x]2,270400
x^4 - 3*x^3 + 2*x^2 + 3*x + 1,21,0,-21,0,21,2,E(4) = 2[x]2,1764
x^4 - 3*x^3 + 8*x^2 - 3*x + 1,-45,150,-45,0,15,1,E(4) = 2[x]2,14400
x^4 - 3*x^3 + 10*x^2 + 3*x + 1,117,312,-117,0,39,1,E(4) = 2[x]2,152100
x^4 - 2*x^3 - 7*x^2 - 2*x + 1,80,200,80,0,40,1,E(4) = 2[x]2,14400
x^4 - 2*x^3 - 7*x^2 + 8*x + 1,-720,660,120,-60,60,0,E(4) = 2[x]2,176400
x^4 - 2*x^3 + 2*x^2 + 2*x + 1,24,0,-24,0,24,2,E(4) = 2[x]2,2304
x^4 - 2*x^3 + 5*x^2 - 4*x + 1,0,-12,24,-12,12,1,E(4) = 2[x]2,144
x^4 - 2*x^3 + 5*x^2 + 2*x + 1,48,72,-48,0,24,1,E(4) = 2[x]2,14400
x^4 - x^3 + 2*x^2 + x + 1,15,0,-15,0,15,2,E(4) = 2[x]2,900
x^4 - 15*x^2 + 1,0,884,0,0,884,3,E(4) = 2[x]2,781456
x^4 - 13*x^2 + 1,0,660,0,0,660,3,E(4) = 2[x]2,435600
x^4 - 12*x^2 + 1,0,560,0,0,560,3,E(4) = 2[x]2,313600
x^4 - 10*x^2 + 1,0,384,0,0,384,3,E(4) = 2[x]2,147456
x^4 - 9*x^2 + 1,0,308,0,0,308,3,E(4) = 2[x]2,94864
x^4 - 8*x^2 + 1,0,240,0,0,240,3,E(4) = 2[x]2,57600
x^4 - 5*x^2 + 1,0,84,0,0,84,3,E(4) = 2[x]2,7056
x^4 - 4*x^2 + 1,0,48,0,0,48,3,E(4) = 2[x]2,2304
x^4 - x^2 + 1,0,-12,0,0,12,3,E(4) = 2[x]2,144
x^4 + 1,0,-16,0,0,16,3,E(4) = 2[x]2,256
x^4 + 3*x^2 + 1,0,20,0,0,20,3,E(4) = 2[x]2,400
x^4 + 4*x^2 + 1,0,48,0,0,48,3,E(4) = 2[x]2,2304
x^4 + 5*x^2 + 1,0,84,0,0,84,3,E(4) = 2[x]2,7056
x^4 + 6*x^2 + 1,0,128,0,0,128,3,E(4) = 2[x]2,16384
x^4 + 7*x^2 + 1,0,180,0,0,180,3,E(4) = 2[x]2,32400
x^4 + 8*x^2 + 1,0,240,0,0,240,3,E(4) = 2[x]2,57600
x^4 + 9*x^2 + 1,0,308,0,0,308,3,E(4) = 2[x]2,94864
x^4 + 10*x^2 + 1,0,384,0,0,384,3,E(4) = 2[x]2,147456
x^4 + 11*x^2 + 1,0,468,0,0,468,3,E(4) = 2[x]2,219024
x^4 + 12*x^2 + 1,0,560,0,0,560,3,E(4) = 2[x]2,313600
x^4 + 13*x^2 + 1,0,660,0,0,660,3,E(4) = 2[x]2,435600
x^4 + 14*x^2 + 1,0,768,0,0,768,3,E(4) = 2[x]2,589824
x^4 + 15*x^2 + 1,0,884,0,0,884,3,E(4) = 2[x]2,781456
x^4 + x^3 + 2*x^2 - x + 1,-15,0,15,0,15,2,E(4) = 2[x]2,900
x^4 + 2*x^3 - 7*x^2 - 8*x + 1,720,660,-120,-60,60,0,E(4) = 2[x]2,176400
x^4 + 2*x^3 - 7*x^2 + 2*x + 1,-80,200,-80,0,40,1,E(4) = 2[x]2,14400
x^4 + 2*x^3 + 2*x^2 - 2*x + 1,-24,0,24,0,24,2,E(4) = 2[x]2,2304
x^4 + 2*x^3 + 5*x^2 - 2*x + 1,-48,72,48,0,24,1,E(4) = 2[x]2,14400
x^4 + 2*x^3 + 5*x^2 + 4*x + 1,0,-12,-24,-12,12,1,E(4) = 2[x]2,144
x^4 + 3*x^3 - 12*x^2 + 3*x + 1,-195,650,-195,0,65,1,E(4) = 2[x]2,270400
x^4 + 3*x^3 + 2*x^2 - 3*x + 1,-21,0,21,0,21,2,E(4) = 2[x]2,1764
x^4 + 3*x^3 + 8*x^2 + 3*x + 1,45,150,45,0,15,1,E(4) = 2[x]2,14400
x^4 + 3*x^3 + 10*x^2 - 3*x + 1,-117,312,117,0,39,1,E(4) = 2[x]2,152100
x^4 + 4*x^3 - 13*x^2 - 4*x + 1,240,900,-240,0,60,1,E(4) = 2[x]2,1040400
x^4 + 4*x^3 - 12*x^2 + 4*x + 1,-288,720,-288,0,144,1,E(4) = 2[x]2,186624
x^4 + 4*x^3 - 4*x^2 - 4*x + 1,96,144,-96,0,48,1,E(4) = 2[x]2,57600
x^4 + 4*x^3 - 3*x^2 - 14*x + 1,2880,720,-720,-180,180,0,E(4) = 2[x]2,291600
x^4 + 4*x^3 + 5*x^2 + 2*x + 1,0,48,48,12,12,1,E(4) = 2[x]2,144
x^4 + 4*x^3 + 8*x^2 - 4*x + 1,-96,144,96,0,48,1,E(4) = 2[x]2,57600
x^4 + 4*x^3 + 8*x^2 + 4*x + 1,32,80,32,0,16,1,E(4) = 2[x]2,2304
x^4 + 4*x^3 + 15*x^2 + 4*x + 1,144,612,144,0,36,1,E(4) = 2[x]2,291600
x^4 + 6*x^3 - 15*x^2 + 6*x + 1,-624,1352,-624,0,104,1,E(4) = 2[x]2,270400
x^4 + 6*x^3 - 14*x^2 - 6*x + 1,504,1344,-504,0,168,1,E(4) = 2[x]2,2822400
x^4 + 6*x^3 - 7*x^2 - 6*x + 1,336,504,-336,0,168,1,E(4) = 2[x]2,705600
x^4 + 6*x^3 - 3*x^2 - 6*x + 1,240,200,-240,0,40,1,E(4) = 2[x]2,270400
x^4 + 6*x^3 + 2*x^2 - 6*x + 1,120,0,-120,0,120,2,E(4) = 2[x]2,57600
x^4 + 6*x^3 + 11*x^2 - 6*x + 1,-96,144,96,0,48,1,E(4) = 2[x]2,57600
x^4 + 6*x^3 + 13*x^2 + 6*x + 1,48,120,48,0,24,1,E(4) = 2[x]2,5184
x^4 + 7*x^3 + 2*x^2 - 7*x + 1,231,0,-231,0,231,2,E(4) = 2[x]2,213444
x^4 + 8*x^3 - 10*x^2 - 8*x + 1,768,1152,-768,0,384,1,E(4) = 2[x]2,3686400
x^4 + 8*x^3 - 7*x^2 - 2*x + 1,0,240,-240,60,60,1,E(4) = 2[x]2,176400
x^4 + 8*x^3 + 2*x^2 - 8*x + 1,384,0,-384,0,384,2,E(4) = 2[x]2,589824
x^4 + 9*x^3 + 2*x^2 - 9*x + 1,585,0,-585,0,585,2,E(4) = 2[x]2,1368900
x^4 + 10*x^3 + 2*x^2 - 10*x + 1,840,0,-840,0,840,2,E(4) = 2[x]2,2822400
x^4 + 11*x^3 + 2*x^2 - 11*x + 1,1155,0,-1155,0,1155,2,E(4) = 2[x]2,5336100
x^4 + 12*x^3 - 8*x^2 - 12*x + 1,2016,1680,-2016,0,336,1,E(4) = 2[x]2,19079424
x^4 + 12*x^3 - 5*x^2 - 12*x + 1,1872,1092,-1872,0,156,1,E(4) = 2[x]2,15210000
x^4 + 12*x^3 + 2*x^2 - 12*x + 1,1536,0,-1536,0,1536,2,E(4) = 2[x]2,9437184
x^4 + 12*x^3 + 12*x^2 - 12*x + 1,1056,-880,-1056,0,176,1,E(4) = 2[x]2,5234944
x^4 + 13*x^3 + 2*x^2 - 13*x + 1,1989,0,-1989,0,1989,2,E(4) = 2[x]2,15824484
x^4 + 14*x^3 - 3*x^2 - 4*x + 1,0,180,-360,180,180,1,E(4) = 2[x]2,291600
x^4 + 14*x^3 + 2*x^2 - 14*x + 1,2520,0,-2520,0,2520,2,E(4) = 2[x]2,25401600
x^4 + 15*x^3 - 14*x^2 - 15*x + 1,4095,4368,-4095,0,273,1,E(4) = 2[x]2,86155524
x^4 + 15*x^3 + 2*x^2 - 15*x + 1,3135,0,-3135,0,3135,2,E(4) = 2[x]2,39312900
